subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,11/7/2022,2/24/2021,2/26/2021,Morning Consult,B,11923,rv,.03822439,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80143,160578,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/25/2021,2/27/2021,Morning Consult,B,12437,rv,.03862195,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80144,160579,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/24/2021,2/28/2021,McLaughlin & Associates,C/D,1000,lv,.43376534,0,46,46,45.377178,43.048764,"","",https://mclaughlinonline.com/pols/wp-content/uploads/2021/03/National-Monthly-For-Release-3-03-21.pdf,74444,140041,3/3/2021,18:59:21  7 Nov 2022
All polls,11/7/2022,2/26/2021,2/28/2021,Morning Consult,B,13831,rv,.04004714,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80145,160580,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/26/2021,2/28/2021,Léger,B/C,1002,a,.96294561,0,39,31,42.098445,35.973137,"","",https://leger360.com/wp-content/uploads/2021/03/Legers-North-American-Tracker-March-1st-2021-min.pdf,74438,139992,3/2/2021,18:59:21  7 Nov 2022
All polls,11/7/2022,2/27/2021,3/1/2021,Morning Consult,B,13816,rv,.03979168,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80146,160581,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/28/2021,3/2/2021,Morning Consult,B,13534,rv,.03924125,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80147,160582,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/1/2021,3/3/2021,Morning Consult,B,12209,rv,.03745368,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80148,160583,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/2/2021,3/4/2021,Morning Consult,B,12296,rv,.03736649,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80149,160584,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/3/2021,3/5/2021,Morning Consult,B,10984,rv,.03554164,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80150,160585,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/4/2021,3/6/2021,Morning Consult,B,11291,rv,.03576664,0,44,42,43.146218,42.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80151,160586,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/5/2021,3/7/2021,Morning Consult,B,12631,rv,.03724019,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80152,160587,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/6/2021,3/8/2021,Morning Consult,B,13701,rv,.03830858,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80153,160588,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/7/2021,3/9/2021,Morning Consult,B,13677,rv,.03812963,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80154,160589,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/8/2021,3/10/2021,Morning Consult,B,12090,rv,.03615918,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80155,160590,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/9/2021,3/11/2021,Morning Consult,B,11821,rv,.0357102,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80156,160591,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/10/2021,3/12/2021,Morning Consult,B,11158,rv,.03478128,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80157,160592,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/11/2021,3/13/2021,Morning Consult,B,11602,rv,.03522077,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80158,160593,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/12/2021,3/14/2021,Morning Consult,B,13018,rv,.03677706,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80159,160594,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/13/2021,3/15/2021,Morning Consult,B,13400,rv,.03710904,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80160,160595,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/14/2021,3/16/2021,Morning Consult,B,12968,rv,.03654031,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80161,160596,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/15/2021,3/17/2021,Morning Consult,B,11448,rv,.03468418,0,45,40,44.146218,40.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80162,160597,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/16/2021,3/18/2021,Morning Consult,B,11162,rv,.03425902,0,44,40,43.146218,40.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80163,160598,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/17/2021,3/19/2021,Morning Consult,B,10329,rv,.03314035,0,44,40,43.146218,40.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80164,160599,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/15/2021,3/21/2021,Echelon Insights,B/C,1008,rv,.62552506,0,46,42,43.870569,41.673985,"","",https://echeloninsights.com/in-the-news/march-omnibus-political/,74557,140352,3/24/2021,18:59:21  7 Nov 2022
All polls,11/7/2022,3/18/2021,3/20/2021,Morning Consult,B,10142,rv,.03282791,0,44,40,43.146218,40.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80165,160600,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/19/2021,3/21/2021,Morning Consult,B,10150,rv,.03276729,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80166,160601,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/20/2021,3/22/2021,Morning Consult,B,10170,rv,.03272222,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80167,160602,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/21/2021,3/23/2021,Morning Consult,B,9274,rv,.03146894,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80168,160603,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/22/2021,3/24/2021,Morning Consult,B,9265,rv,.03138846,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80169,160604,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/23/2021,3/25/2021,Morning Consult,B,10020,rv,.0323168,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80170,160605,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/24/2021,3/26/2021,Morning Consult,B,10918,rv,.03337217,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80171,160606,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/25/2021,3/27/2021,Morning Consult,B,11153,rv,.03358391,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80173,160608,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/26/2021,3/28/2021,Morning Consult,B,12000,rv,.03450622,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80174,160609,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/27/2021,3/29/2021,Morning Consult,B,12176,rv,.03463274,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80175,160610,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/28/2021,3/30/2021,Morning Consult,B,12460,rv,.03487893,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80176,160611,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/29/2021,3/31/2021,Morning Consult,B,12337,rv,.03466794,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80177,160612,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/30/2021,4/1/2021,Morning Consult,B,12632,rv,.03492494,0,43,41,42.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80178,160613,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,3/31/2021,4/2/2021,Morning Consult,B,12465,rv,.03466887,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80179,160614,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/1/2021,4/3/2021,Morning Consult,B,12400,rv,.03452681,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80180,160615,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/2/2021,4/4/2021,Morning Consult,B,13597,rv,.0357519,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80181,160616,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/3/2021,4/5/2021,Morning Consult,B,13900,rv,.03599828,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80182,160617,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/4/2021,4/6/2021,Morning Consult,B,13727,rv,.03575051,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80183,160618,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/3/2021,4/7/2021,PEM Management Corporation,"",1000,lv,.69027885,0,39.8,42.7,41.175285,42.035126,"","",https://boltonsuperpac.com/pdfs/crostabs_04202021.pdf,74681,140689,4/20/2021,18:59:21  7 Nov 2022
All polls,11/7/2022,4/5/2021,4/7/2021,Morning Consult,B,12070,rv,.03389485,0,44,40,43.146218,40.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80184,160619,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/6/2021,4/8/2021,Morning Consult,B,11161,rv,.03278995,0,44,40,43.146218,40.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80185,160620,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/7/2021,4/9/2021,Morning Consult,B,10142,rv,.03150049,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80186,160621,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/7/2021,4/11/2021,The Winston Group,A/B,1000,rv,1.215059,0,45,41,44.167518,40.963342,"","",https://www.winningtheissues.org/wp-content/uploads/2021/08/Winning-the-Issues-April-2021-National-Survey.pdf,75474,143966,8/6/2021,18:59:21  7 Nov 2022
All polls,11/7/2022,4/8/2021,4/10/2021,Morning Consult,B,10455,rv,.03182693,0,44,42,43.146218,42.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80187,160622,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/9/2021,4/11/2021,Morning Consult,B,11286,rv,.03275422,0,44,42,43.146218,42.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80188,160623,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/10/2021,4/12/2021,Morning Consult,B,10410,rv,.03165329,0,44,42,43.146218,42.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80189,160624,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/8/2021,4/13/2021,McLaughlin & Associates,C/D,1000,lv,.38265845,0,46,46.4,45.377178,43.448764,"","",https://www.ammoland.com/2021/04/new-mclaughlin-poll-strong-2a-support-not-so-much-for-exec-orders/#axzz6sCmt62BU,74665,140646,4/16/2021,18:59:21  7 Nov 2022
All polls,11/7/2022,4/11/2021,4/13/2021,Morning Consult,B,9686,rv,.03069596,0,43,41,42.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80190,160625,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/12/2021,4/14/2021,Morning Consult,B,8645,rv,.02927577,0,43,41,42.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80191,160626,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/12/2021,4/16/2021,Ipsos,B-,4423,a,1.2202031,0,39,31,43.259316,37.498069,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-05/Reuters%20Ipsos%20Large%20Issue%20Poll%20%232%20Topline%20%20Write-up%20-%20Biden%20100%20Days%20-%2012%20April%20thru%2016%20April%202021.pdf,74812,142388,5/19/2021,18:59:21  7 Nov 2022
All polls,11/7/2022,4/13/2021,4/15/2021,Morning Consult,B,10660,rv,.03177376,0,43,41,42.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80192,160627,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/14/2021,4/16/2021,Morning Consult,B,10855,rv,.03194314,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80193,160628,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/15/2021,4/17/2021,Morning Consult,B,11220,rv,.03230584,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80194,160629,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/15/2021,4/17/2021,RMG Research,B-,1200,rv,.70755667,0,43,39,45.013609,40.309648,"","",https://scottrasmussen.com/generic-congressional-ballot-democrats-43-republicans-39/,74673,140667,4/19/2021,18:59:21  7 Nov 2022
All polls,11/7/2022,4/16/2021,4/18/2021,Morning Consult,B,11528,rv,.03259453,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80195,160630,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/15/2021,4/20/2021,Change Research,B-,1025,rv,.96605047,0,48,43,46.034293,42.053037,"","",https://twitter.com/ChangePolls/status/1388132970536505344,74730,140873,4/30/2021,18:59:21  7 Nov 2022
All polls,11/7/2022,4/17/2021,4/19/2021,Morning Consult,B,11973,rv,.03302891,0,43,41,42.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80196,160631,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/17/2021,4/20/2021,YouGov,B+,1168,rv,.49856941,0,45,37,44.781726,40.272985,"","",https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,74683,144500,8/26/2021,18:59:21  7 Nov 2022
All polls,11/7/2022,4/17/2021,4/20/2021,Hart Research Associates/Public Opinion Strategies,B+,790,rv,1.1016758,0,47,42,46.250296,41.014756,"","",https://www.documentcloud.org/documents/20690434-210098-nbc-news-april-poll-4-25-21-release,74703,140773,4/26/2021,18:59:21  7 Nov 2022
All polls,11/7/2022,4/18/2021,4/20/2021,Morning Consult,B,11663,rv,.03262273,0,43,41,42.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80197,160632,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/16/2021,4/23/2021,Echelon Insights,B/C,1043,rv,.58723229,0,46,42,43.870569,41.673985,"","",https://echeloninsights.com/in-the-news/april-omnibus-political/,74731,140848,4/28/2021,18:59:21  7 Nov 2022
All polls,11/7/2022,4/19/2021,4/21/2021,Morning Consult,B,10473,rv,.03119022,0,43,42,42.146218,42.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80198,160633,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/20/2021,4/22/2021,Morning Consult,B,10356,rv,.03099278,0,43,41,42.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80199,160634,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/21/2021,4/23/2021,Morning Consult,B,10988,rv,.03167667,0,43,41,42.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80200,160635,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/21/2021,4/23/2021,YouGov,B+,1000,a,.45067816,0,45,38,44.781726,41.272985,"","",https://polsci.umass.edu/toplines-and-crosstabs-april-2021-election-reform,74708,140862,4/29/2021,18:59:21  7 Nov 2022
All polls,11/7/2022,4/22/2021,4/24/2021,Morning Consult,B,12290,rv,.03306592,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80201,160636,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/23/2021,4/25/2021,Morning Consult,B,13939,rv,.03470936,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80202,160637,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,4/24/2021,4/26/2021,Morning Consult,B,14804,rv,.03549145,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80203,160638,9/8/2022,18:59:21  7 Nov 2022
